Semaine,Value
2023-10-29,100
2023-10-22,33
2023-10-15,25
2023-10-08,28
2023-10-01,23
2023-09-24,9
2023-09-17,32
2023-09-10,31
2023-09-03,27
2023-08-27,14
2023-08-20,31
2023-08-13,32
2023-08-06,22
2023-07-30,30
2023-07-23,32
2023-07-16,29
2023-07-09,20
2023-07-02,29
2023-06-25,29
2023-06-18,30
2023-06-11,40
2023-06-04,20
2023-05-28,33
2023-05-21,18
2023-05-14,27
2023-05-07,15
2023-04-30,37
2023-04-23,27
2023-04-16,29
2023-04-09,26
2023-04-02,39
2023-03-26,49
2023-03-19,26
2023-03-12,45
2023-03-05,30
2023-02-26,28
2023-02-19,41
2023-02-12,28
2023-02-05,37
2023-01-29,23
2023-01-22,19
2023-01-15,37
2023-01-08,27
2023-01-01,29
2022-12-25,21
2022-12-18,21
2022-12-11,38
2022-12-04,31
2022-11-27,30
2022-11-20,19
2022-11-13,25
2022-11-06,42
