Semaine,Value
2023-11-05,0
2023-10-29,0
2023-10-22,0
2023-10-15,38
2023-10-08,62
2023-10-01,33
2023-09-24,36
2023-09-17,33
2023-09-10,38
2023-09-03,21
2023-08-27,0
2023-08-20,23
2023-08-13,70
2023-08-06,22
2023-07-30,0
2023-07-23,0
2023-07-16,25
2023-07-09,37
2023-07-02,0
2023-06-25,0
2023-06-18,55
2023-06-11,13
2023-06-04,67
2023-05-28,33
2023-05-21,0
2023-05-14,0
2023-05-07,36
2023-04-30,72
2023-04-23,16
2023-04-16,17
2023-04-09,32
2023-04-02,25
2023-03-26,26
2023-03-19,20
2023-03-12,26
2023-03-05,55
2023-02-26,17
2023-02-19,25
2023-02-12,28
2023-02-05,22
2023-01-29,17
2023-01-22,35
2023-01-15,66
2023-01-08,0
2023-01-01,45
2022-12-25,100
2022-12-18,23
2022-12-11,38
2022-12-04,23
2022-11-27,46
2022-11-20,34
2022-11-13,26
