Name,Followers,Score,Income
Oprah Winfrey,22864406.0,17.527600009318473,225.0
Tiger Woods,3304843.0,14.963159626118468,87.0
Mel Gibson,33936.0,10.482044689226178,185.0
George Lucas,4623.0,8.46514753510336,290.0
Shaquille O'Neal,33268275.0,16.332020532081156,33.4
Steven Spielberg,83221.0,10.237450918199661,80.0
Johnny Depp,28757879.0,17.946882783537337,37.0
Madonna,19257541.0,16.471151837399763,50.0
Elton John,4745939.0,14.7039159182514,44.0
Tom Cruise,11791135.0,15.619954292842438,31.0
Brad Pitt,2073494.0,13.538919319180733,25.0
Dan Brown,222379.0,12.08726705738103,76.5
Will Smith,64513888.0,18.282532582047516,35.0
David Letterman,468136.0,12.404412981259151,40.0
Lance Armstrong,460497.0,13.503829834606181,28.0
Michael Jordan,27463213.0,15.870747794615369,33.0
Michael Schumacher,1408552.0,13.673796276859,60.0
Will Ferrell,115169.0,10.98944074168947,40.0
Kobe Bryant,21825566.0,16.21505193193616,28.8
Sean (Diddy) Combs,20435818.0,16.86770080182717,36.0
Jay Leno,47954.0,10.181001782496631,30.0
J.K. Rowling,284296.0,11.368634178543862,59.1
Metallica,10742121.0,16.01947532438548,37.4
Jennifer Lopez,252920598.0,18.431315304020867,17.0
Cast of Desperate Housewives,33399.0,10.976916541113518,5.6
David Beckham,85032890.0,19.59880645585329,32.5
Howard Stern,1391194.0,14.054319807310147,31.0
Rush Limbaugh,21100.0,8.936442328358101,30.0
Shania Twain,2392485.0,13.568667857709311,34.0
Peter Jackson,36134.0,10.914517746847775,47.0
Denzel Washington,500054.0,13.6439868179543,30.0
Rod Stewart,1426747.0,13.971196840447508,31.0
Michael Vick,1676640.0,13.963991667673907,37.5
Bette Midler,1447132.0,14.928249842266702,31.0
The Olsen Twins,107782.0,12.224349882396938,21.0
Jerry Bruckheimer,99600.0,10.125239311826306,66.0
Jennifer Aniston,44374756.0,17.86417223442724,18.5
Derek Jeter,625055.0,14.025074209326437,25.5
Julia Roberts,11533211.0,14.267887745815218,8.0
Prince,575937.0,12.460561300778492,49.7
David Copperfield,167677.0,11.977415421003057,57.0
Tobey Maguire,498176.0,12.839505542315848,32.0
The Eagles,102821.0,11.648766860285487,45.0
Ray Romano,4591.0,8.4741712958617,36.5
Nicole Kidman,9859006.0,16.37179987546867,14.5
Jeff Gordon,437376.0,13.202091019475713,23.4
Phil Mickelson,1237723.0,13.99524806312453,26.8
Alex Rodriguez,4203577.0,16.345671770417358,27.5
Matt Damon,53694.0,11.056964137408793,27.0
Adam Sandler,20225329.0,17.44843308661653,28.0
Oscar De La Hoya,1047877.0,14.429931687043585,38.0
Lindsay Lohan,14079601.0,15.323653859770557,11.0
LeBron James,158920907.0,18.055006486590482,22.9
Hilary Duff,26736728.0,16.68887646267928,15.0
Paris Hilton,25469818.0,17.010887475572957,6.5
Bill Clinton,158578.0,11.38611606629154,6.0
Maria Sharapova,4650837.0,15.740158773257358,18.2
Drew Barrymore,17308983.0,16.441812174580765,22.0
Andre Agassi,421312.0,13.054986272145733,26.2
Manny Ramirez,406382.0,13.841726598508636,24.2
Van Halen,225060.0,12.790010240332506,29.6
Serena Williams,17050103.0,16.88339408770055,12.7
Valentino Rossi,15953557.0,17.200784967719233,28.0
Jessica Simpson,6380043.0,15.447962003136025,8.0
Sandra Bullock,1908213.0,14.714961282114261,10.5
Cameron Diaz,11741190.0,16.081164237406345,13.0
Regis Philbin,2800.0,8.141639317998674,20.0
James Patterson,118450.0,11.41381001709188,27.0
Paul Harvey,1464.0,7.372892912746127,30.0
Jennifer Garner,14727867.0,17.423407064576974,14.0
Nora Roberts,75749.0,11.207020972778903,28.8
Ronaldo,611576299.0,17.90059517753834,23.0
Judge Judy Sheindlin,38032.0,9.976112280642807,28.0
Ellen DeGeneres,139811893.0,18.069201888129772,15.0
Naomi Watts,1878776.0,14.324646903789361,11.5
Ashlee Simpson,1112951.0,13.744569403656513,5.3
Dave Chappelle,3251714.0,14.604970874855127,12.0
John Madden,1410.0,6.9956185741392405,17.0
Rudy Giuliani,637796.0,13.825639451903783,5.0
Venus Williams,2012171.0,15.197965400529293,6.5
Matt Hasselbeck,69903.0,10.850316240302531,22.8
Jack Welch,2427.0,7.658897147186478,9.2
Walter Jones,304826.0,12.118182810501205,23.2
Emeril Lagasse,501558.0,11.958939999434545,9.0
Wolfgang Puck,375611.0,11.91348088922179,12.0
Lindsay Davenport,7070.0,9.107337895813194,6.0
Arthur Agatston,322.0,5.6470044629502105,16.0
Annika Sorenstam,100775.0,11.699077823465736,7.3
Heidi Klum,11764322.0,16.819488652026312,7.5
Kimora Lee Simmons,2343045.0,14.750143459161539,17.0
Patricia Heaton,278127.0,12.088315913063857,9.0
Kate Moss,77468.0,11.518908066875078,5.0
Ken Jennings,7680.0,8.55754670240916,3.2
Tyra Banks,7374397.0,15.45093091646513,6.0
Frankie Muniz,862637.0,13.410117241670006,8.0
Adriana Lima,16789275.0,19.337706419435506,4.5
David Blaine,1066492.0,13.893512796367004,2.0
Amanda Bynes,92242.0,11.329270005745913,1.5
Charlie Palmer,27980.0,9.897379264550523,4.7
U2,3424753.0,15.912269710228513,110.0
Jerry Seinfeld,1393601.0,13.751489697958162,100.0
Rolling Stones,3784719.0,15.935571232476617,90.0
Dick Wolf,59667.0,10.095859593458968,70.0
Andrew Lloyd Webber,286823.0,12.27203892134521,56.0
