Actor,Followers,Is_In_IMDB,Score,EstimatedIncome
Sam Worthington,70420,0,10.091322081131876,37.565593926585365
Zoe Saldana,11438061,0,15.414094999364208,32.818376996717944
Stephen Lang,107029,0,10.684929610941168,36.91861116864075
Michelle Rodriguez,9108491,0,16.458741962427165,33.65809586341882
Joel David Moore,81736,0,10.829406663738697,36.728944166370724
CCH Pounder,38123,0,10.396515407044486,37.263621611221595
Laz Alonso,913198,0,12.396064001847918,34.44581831596028
Dileep Rao,1522,0,6.875703373207047,31.086221395925207
Matt Gerald,21914,0,9.404491695871211,37.906325786611205
Sean Anthony Moran,2408,0,8.245590930375899,36.810193694539635
Scott Lawrence,665,0,6.566507543697622,28.86952093324905
Sean Patrick Murphy,1377,0,6.877071811007518,31.09516256676403
Peter Dillon,508,0,5.633450697876455,19.505810765070464
Kevin Dorman,3774,0,8.366216908844287,37.053462014349975
Kelson Henderson,10275,0,10.071528299492702,37.582495767101534
Jacob Tomuri,37339,0,10.699559318654329,36.89985752759196
Jon Curry,984,0,6.90499039459017,31.275961532685272
Luke Hawker,399186,0,13.08542993207929,33.59037346765595
Peter Mensah,30723,0,10.3553426318366,37.308541585
Jahnel Curfman,14299,0,9.128697666122823,37.8685944046058
Ilram Choi,30,0,3.3472443217099968,-26.465733348531074
Kyla Warren,1339,0,7.286800503823906,33.45187072558963
Lisa Roumain,4568,0,8.762705595632788,37.62139410130024
Debra Wilson,2675,0,7.323012199458018,33.63084562549693
Chris Mala,101,0,4.902886854950185,8.835601360479501
Frankie Torres,1622,0,7.232406638030242,33.17442277687351
Austin Wilson,102881,0,11.413605221475809,35.89014403828034
Sara Wilson,6232,0,8.32526170853349,36.9747830017661
Matthew Chamberlain,4172,0,8.273966471959039,36.870582630108174
Paul Yates,268,0,5.661389324648122,19.851230210835894
James Gaylyn,233,0,5.339692096013873,15.604448372925248
Christopher Nolen,220870,0,12.229763553423432,34.67883219647953
Matt Clayton,1038,0,7.292348510584159,33.479586749989124
Nicole Dionne,1879,0,7.402733867749819,34.0090208639123
Jamie Harrison,63703,0,10.896092885197712,36.63832609427331
Allan Henry,3505,0,8.430809896392365,37.169574708481264
Ashley Jeffery,1688,0,7.416023958952286,34.069975666391116
Terry Notary,12466,0,9.6288854320194,37.856418177453406
Kai Pantano,1667,0,7.253812516644377,33.2848508867493
Raja,3094676,0,15.013205515187847,32.682101053684306
Rhian Sheehan,2084,0,7.874417879738906,35.82889009537726
Jodie Taylor,77903,0,11.761072984407487,35.36792414006911
Alicia Vela-Bailey,35405,0,9.92264319231106,37.69776169826255
Richard Whiteside,805,0,6.878895168318473,31.107064575361136
Nikie Zambo,24,0,3.206033851789018,-30.673065019765204
Julene Renee,182,0,5.043143338805294,11.141135085352175
Johnny Depp,28756476,0,17.946831801369207,35.629080204658436
Orlando Bloom,7182511,0,15.998199330200515,33.20867371167182
Keira Knightley,245150,0,12.203330714467638,34.71656943244167
Stellan Skarsgard,11051,0,9.25852722192958,37.90092479957923
Chow Yun-fat,4731,0,8.862614693219212,37.713270165167444
Bill Nighy,380,0,5.677759291885969,20.051609389397782
Geoffrey Rush,6583,0,9.312960498111062,37.90664191158106
Jack Davenport,3569,0,8.4211589245187,37.15283825920227
Kevin McNally,48715,0,10.778537220132414,36.79681977094475
Tom Hollander,86,0,3.9403841466857945,-10.732917486470313
Naomie Harris,253908,0,11.961418151732866,35.06907074401474
Jonathan Pryce,480,0,5.623133869502202,19.377159300685207
Keith Richards,1529469,0,14.90541420470823,32.66474165875292
Lee Arenberg,14387,0,10.076239883453326,37.57850484035691
Greg Ellis,15922,0,9.464185625123296,37.89966378242511
Martin Klebba,26315,0,10.960019857392938,36.54986108807174
David Schofield,431,0,5.954824219646641,23.223651986509054
Lauren Maher,1760,0,7.6851361423079645,35.180902365883526
Vanessa Branch,2252,0,7.304503424019366,33.5399345606487
Angus Barnett,20,0,3.216800661626986,-30.34572290442614
Giles New,99847,0,11.466003533668058,35.811670812962205
Reggie Lee,131700,0,11.719197848665438,35.43083277295128
Dominic Scott Kay,52012,0,10.494494396086338,37.15209325233826
David Meunier,1047,0,6.909274126834725,31.30343084028243
Andy Beckwith,278,0,5.689390348668314,20.19308241396513
Peter Donald Badalamenti II,788,0,7.08130834037063,32.34804416352128
Keith Richards,1529483,0,14.90541420470823,32.66474165875292
Hakeem Kae-Kazim,20612,0,9.619887856995865,37.85968336036706
Ghassan Massoud,3820,0,8.126125022648718,36.53390151101215
Daniel Craig,18750,0,9.004514569265725,37.81164627099437
Christoph Waltz,172695,0,11.650186555006645,35.53466512454452
Lea Seydoux,100452,0,9.25852722192958,37.90092479957923
Ralph Fiennes,28850,0,9.28961176096342,37.90474048862981
Monica Bellucci,5337639,0,15.866586963276836,33.10205314502625
Naomie Harris,253902,0,11.961418151732866,35.06907074401474
Dave Bautista,4822633,0,14.495343359573976,32.67478640347633
Andrew Scott,7246,0,8.642874329754227,37.485120770605135
Rory Kinnear,720,0,6.565897075742673,28.86474538194622
Jesper Christensen,3758,0,7.650478664203084,35.050652065262796
Alessandro Cremona,1997,0,7.391216053189465,33.955715280752884
