Actor,Followers,Is_In_IMDB,Score
Sam Worthington,70420,0,10.091322081131876
Zoe Saldana,11438061,0,15.414094999364208
Stephen Lang,107029,0,10.684929610941168
Michelle Rodriguez,9108491,0,16.458741962427165
Joel David Moore,81736,0,10.829406663738695
CCH Pounder,38123,0,10.396515407044486
Laz Alonso,913198,0,12.396064001847918
Dileep Rao,1522,0,6.875703373207047
Matt Gerald,21914,0,9.404491695871213
Sean Anthony Moran,2408,0,8.245590930375899
Scott Lawrence,665,0,6.566507543697622
Sean Patrick Murphy,1377,0,6.877071811007518
Peter Dillon,508,0,5.633450697876455
Kevin Dorman,3774,0,8.366216908844287
Kelson Henderson,10275,0,10.071528299492702
Jacob Tomuri,37339,0,10.699559318654327
Jon Curry,984,0,6.90499039459017
Luke Hawker,399186,0,13.08542993207929
Peter Mensah,30723,0,10.3553426318366
Jahnel Curfman,14299,0,9.128697666122823
Ilram Choi,30,0,3.3472443217099968
Kyla Warren,1339,0,7.286800503823906
Lisa Roumain,4568,0,8.762705595632788
Debra Wilson,2675,0,7.323012199458018
Chris Mala,101,0,4.902886854950185
Frankie Torres,1622,0,7.232406638030242
Austin Wilson,102881,0,11.413605221475807
Sara Wilson,6232,0,8.32526170853349
Matthew Chamberlain,4172,0,8.273966471959039
Paul Yates,268,0,5.661389324648122
James Gaylyn,233,0,5.339692096013873
Christopher Nolen,220870,0,12.229763553423433
Matt Clayton,1038,0,7.2923485105841594
Nicole Dionne,1879,0,7.402733867749819
Jamie Harrison,63703,0,10.896092885197712
Allan Henry,3505,0,8.430809896392365
Ashley Jeffery,1688,0,7.416023958952286
Terry Notary,12466,0,9.6288854320194
Kai Pantano,1667,0,7.253812516644377
Raja,3094676,0,15.013205515187849
Rhian Sheehan,2084,0,7.874417879738906
Jodie Taylor,77903,0,11.761072984407487
Alicia Vela-Bailey,35405,0,9.922643192311059
Richard Whiteside,805,0,6.878895168318473
Nikie Zambo,24,0,3.206033851789018
Julene Renee,182,0,5.043143338805294
Johnny Depp,28756476,0,17.946831801369207
Orlando Bloom,7182511,0,15.998199330200515
Keira Knightley,245150,0,12.203330714467638
Stellan SkarsgÃ¢ËÅ¡Ãâ°Ã¢Ëâ ÃÂ­Ã¢ËÅ¡Ãâ¡ÃÂ¬Ã¢â¬Â¢rd,11051,0,
Chow Yun-fat,4731,0,8.862614693219212
Bill Nighy,380,0,5.677759291885969
Geoffrey Rush,6583,0,9.312960498111062
Jack Davenport,3569,0,8.4211589245187
Kevin McNally,48715,0,10.778537220132414
Tom Hollander,86,0,3.9403841466857945
Naomie Harris,253908,0,11.961418151732866
Jonathan Pryce,480,0,5.623133869502202
Keith Richards,1529469,0,14.90541420470823
Lee Arenberg,14387,0,10.076239883453326
Greg Ellis,15922,0,9.464185625123296
Martin Klebba,26315,0,10.960019857392938
David Schofield,431,0,5.954824219646641
Lauren Maher,1760,0,7.6851361423079645
Vanessa Branch,2252,0,7.304503424019366
Angus Barnett,20,0,3.216800661626986
Giles New,99847,0,11.466003533668058
Reggie Lee,131700,0,11.719197848665438
Dominic Scott Kay,52012,0,10.494494396086338
David Meunier,1047,0,6.909274126834725
Andy Beckwith,278,0,5.689390348668314
Peter Donald Badalamenti II,788,0,7.08130834037063
Keith Richards,1529483,0,14.90541420470823
Hakeem Kae-Kazim,20612,0,9.619887856995863
Ghassan Massoud,3820,0,8.126125022648718
Daniel Craig,18750,0,9.004514569265725
Christoph Waltz,172695,0,11.650186555006645
LÃ¢ËÅ¡Ãâ°Ã¢Ëâ ÃÂ­Ã¢ËÅ¡Ãâ¡ÃÂ¬ÃÂ©a Seydoux,100452,0,
Ralph Fiennes,28850,0,9.28961176096342
Monica Bellucci,5337639,0,15.866586963276836
Naomie Harris,253902,0,11.961418151732866
Dave Bautista,4822633,0,14.495343359573976
Andrew Scott,7246,0,8.642874329754227
Rory Kinnear,720,0,6.565897075742673
Jesper Christensen,3758,0,7.650478664203084
Alessandro Cremona,1997,0,7.391216053189465
Stephanie Sigman,162702,0,12.97143987617668
Tenoch Huerta,1142083,0,12.832675526297923
Adriana Paz,194275,0,11.62146772699259
Ian Bonar,75,0,4.392730181759283
Tam Williams,395,0,5.895328227579104
Pip Carter,772,0,6.752651975588188
Simon Lenagan,379,0,5.36627383354754
Marc Zinga,1705,0,7.304711793035018
Brigitte Millar,133,0,5.058018241189356
Adel Bencherif,257623,0,12.646101074187579
Francesco Arca,595692,0,13.93355753977352
George Lasha,97,0,4.573882976516323
Sargon Yelda,356,0,5.784091465769949
Andy Cheung,550,0,6.253467554909997
Erick Hayden,7737,0,9.175558848115799
Nigel Barber,41051,0,10.427391706465087
Stephane Cornicard,1295,0,7.409814657976051
Gary Fannin,664,0,6.700385056882916
Phillip Law,14921,0,10.04978581508783
Wai Wong,7178,0,8.512757080325919
Joseph Balderrama,52,0,3.9167870189584724
Junichi Kajioka,4253,0,8.410663933662425
Detlef Bothe,1033,0,6.569895563698331
Noah Saavedra,10867,0,9.626047914574315
Michael White,1502,0,7.185597384541708
Judi Dench,3076,0,7.8905267960858945
Neve Gachev,363,0,6.049866801396582
Kim Adis,19400,0,9.77314327215049
Michael Caine,5713,0,8.936261142981333
Gary Oldman,27058,0,10.211526024636662
Anne Hathaway,30824292,0,17.193759026948907
Tom Hardy,9709225,0,16.538724459853853
Joseph Gordon-Levitt,1314517,0,13.612221740708408
Morgan Freeman,4202095,0,15.292480851916013
Cillian Murphy,1921885,0,15.248807169776999
Juno Temple,758929,0,14.131758536678754
Liam Neeson,41618,0,10.346222793072405
Matthew Modine,820290,0,13.792881218595392
Alon Aboutboul,14603,0,9.68634450990234
Ben Mendelsohn,30665,0,10.982738925901602
Nestor Carbonell,35044,0,11.07104010754402
Tom Conti,87,0,4.686259514466528
