Actor,Followers,Is_In_IMDB,Score
Sam Worthington,70420,0,0
Zoe Saldana,11438061,0,9
Stephen Lang,107029,0,0
Michelle Rodriguez,9108491,0,7
Joel David Moore,81736,0,0
CCH Pounder,38123,0,0
Laz Alonso,913198,0,0
Dileep Rao,1522,0,0
Matt Gerald,21914,0,0
Sean Anthony Moran,2408,0,0
Scott Lawrence,665,0,0
Sean Patrick Murphy,1377,0,0
Peter Dillon,508,0,0
Kevin Dorman,3774,0,0
Kelson Henderson,10275,0,0
Jacob Tomuri,37339,0,0
Jon Curry,984,0,0
Luke Hawker,399186,0,0
Peter Mensah,30723,0,0
Jahnel Curfman,14299,0,0
Ilram Choi,30,0,0
Kyla Warren,1339,0,0
Lisa Roumain,4568,0,0
Debra Wilson,2675,0,0
Chris Mala,101,0,0
Frankie Torres,1622,0,0
Austin Wilson,102881,0,0
Sara Wilson,6232,0,0
Matthew Chamberlain,4172,0,0
Paul Yates,268,0,0
James Gaylyn,233,0,0
Christopher Nolen,220870,0,0
Matt Clayton,1038,0,0
Nicole Dionne,1879,0,0
Jamie Harrison,63703,0,0
Allan Henry,3505,0,0
Ashley Jeffery,1688,0,0
Terry Notary,12466,0,0
Kai Pantano,1667,0,0
Raja,3094676,0,2
Rhian Sheehan,2084,0,0
Jodie Taylor,77903,0,0
Alicia Vela-Bailey,35405,0,0
Richard Whiteside,805,0,0
Nikie Zambo,24,0,0
Julene Renee,182,0,0
Johnny Depp,28756476,0,25
Orlando Bloom,7182511,0,6
Keira Knightley,245150,0,0
Stellan SkarsgÃÂ¥rd,11051,0,1
Chow Yun-fat,4731,0,0
Bill Nighy,380,0,0
Geoffrey Rush,6583,0,0
Jack Davenport,3569,0,0
Kevin McNally,48715,0,0
Tom Hollander,86,0,0
Naomie Harris,253908,0,0
Jonathan Pryce,480,0,0
Keith Richards,1529469,0,1
Lee Arenberg,14387,0,0
Greg Ellis,15922,0,0
Martin Klebba,26315,0,0
David Schofield,431,0,0
Lauren Maher,1760,0,0
Vanessa Branch,2252,0,0
Angus Barnett,20,0,0
Giles New,99847,0,0
Reggie Lee,131700,0,0
Dominic Scott Kay,52012,0,0
David Meunier,1047,0,0
Andy Beckwith,278,0,0
Peter Donald Badalamenti II,788,0,0
Keith Richards,1529483,0,1
Hakeem Kae-Kazim,20612,0,0
Ghassan Massoud,3820,0,0
Daniel Craig,18750,0,0
Christoph Waltz,172695,0,0
LÃÂ©a Seydoux,100452,0,1
Ralph Fiennes,28850,0,0
Monica Bellucci,5337639,0,4
Naomie Harris,253902,0,0
Dave Bautista,4822633,0,3
Andrew Scott,7246,0,0
Rory Kinnear,720,0,0
Jesper Christensen,3758,0,0
Alessandro Cremona,1997,0,0
Stephanie Sigman,162702,0,0
Tenoch Huerta,1142083,0,0
Adriana Paz,194275,0,0
Ian Bonar,75,0,0
Tam Williams,395,0,0
Pip Carter,772,0,0
Simon Lenagan,379,0,0
Marc Zinga,1705,0,0
Brigitte Millar,133,0,0
Adel Bencherif,257623,0,0
Francesco Arca,595692,0,0
George Lasha,97,0,0
Sargon Yelda,356,0,0
Andy Cheung,550,0,0
Erick Hayden,7737,0,0
Nigel Barber,41051,0,0
Stephane Cornicard,1295,0,0
Gary Fannin,664,0,0
Phillip Law,14921,0,0
Wai Wong,7178,0,0
Joseph Balderrama,52,0,0
Junichi Kajioka,4253,0,0
Detlef Bothe,1033,0,0
Noah Saavedra,10867,0,0
Michael White,1502,0,0
Judi Dench,3076,0,0
Neve Gachev,363,0,0
Kim Adis,19400,0,0
Michael Caine,5713,0,0
Gary Oldman,27058,0,0
Anne Hathaway,30824292,0,26
Tom Hardy,9709225,0,8
Joseph Gordon-Levitt,1314517,0,1
Morgan Freeman,4202095,0,3
Cillian Murphy,1921885,0,1
Juno Temple,758929,0,0
Liam Neeson,41618,0,0
Matthew Modine,820290,0,0
Alon Aboutboul,14603,0,0
Ben Mendelsohn,30665,0,0
Nestor Carbonell,35044,0,0
Tom Conti,87,0,0
Joey King,18985094,0,16
Warren Brown,97408,0,0
Daniel Sunjata,538,0,0
Nick Julian,1710,0,0
Miranda Nolan,838,0,0
Claire Julien,29214,0,0
Aidan Gillen,7906,0,0
Reggie Lee,131697,0,0
Joseph Lyle Taylor,54937,0,0
Chris Ellis,6501,0,0
Duane Henry,28356,0,0
James Harvey Ward,61,0,0
Gonzalo Menendez,795,0,0
Cameron Jack,4117,0,0
Lex Daniel,459,0,0
Tyler Dean Flores,11926,0,0
Thomas Lennon,207344,0,0
Trevor White,1875,0,0
Rob Brown,97162,0,0
Chris Hill,46077,0,0
Jay Benedict,370,0,0
Will Estes,120058,0,0
David Dayan Fisher,2737,0,0
Glen Powell,868735,0,0
Russ Fega,727,0,0
Brent Briscoe,76,0,0
John Nolan,22396,0,0
Oliver Cotton,4,0,0
Mark Killeen,474,0,0
Sarah Goldberg,1305,0,0
John MacMillan,17889,0,0
Robert Wisdom,2051,0,0
Ronnie Gene Blevins,8736,0,0
John Hollingworth,720,0,0
Ian Bohen,2955624,0,2
Uri Gavriel,117,0,0
Noel Gugliemi,383968,0,0
Patrick Cox,16728,0,0
Aramis Knight,99216,0,0
Josh Stewart,128904,0,0
William Devane,104607,0,0
David Gyasi,24082,0,0
Patrick Jordan,5707,0,0
Joshua Elijah Reese,1080,0,0
Desmond Harrington,14855,0,0
Tomas Arana,321,0,0
Peter Holden,644,0,0
David Monahan,2496,0,0
Jillian Armenante,23696,0,0
Aja Evans,22041,0,0
Aldous Davidson,614,0,0
Wade Williams,6195,0,0
Jake Canuso,46865,0,0
Massi Furlan,51456,0,0
Christopher Judge,49533,0,0
Patrick Leahy,43339,0,0
Todd Gearhart,100,0,0
Marc Abbink,87,0,0
Isiah Adams,750,0,0
Charlie Alejandro,4401,0,0
Grant Babbitt,2341,0,0
Fileena Bahris,2448,0,0
Rick Bolander,109,0,0
Scott Churchson,41325,0,0
Bill Cowher,1414,0,0
Graham Curry,516,0,0
Frank Fata,41854,0,0
Sam Harris,365239,0,0
Cindy Jackson,31840,0,0
Daniel Jordano,1711,0,0
Tiffany Kemp,10,0,0
Alex Kruz,449,0,0
LeJon,67,0,0
Paul Jude Letersky,139501,0,0
Joe Lipari,980,0,0
Silvia Lombardo,1750,0,0
David Dale McCue,128,0,0
Olan Montgomery,1217,0,0
Alex Moore,14419,0,0
Shane Nolan,42903,0,0
Jackson Nunn,21609,0,0
Joseph O'Brien,120543,0,0
Kyle David Pierce,36094,0,0
Troy Polamalu,573993,0,0
Michael Power,7783,0,0
James Rawlings,785,0,0
Ben Roethlisberger,758,0,0
Mark Roman,573,0,0
Eric Salazar,933,0,0
Emily Schooley,1900,0,0
Thomas Tull,212,0,0
Vincent van Ommen,2361,0,0
Barbara Vincent,309,0,0
Jason Yee,552,0,0
John Zion,1549,0,0
Alex Ziwak,907,0,0
Tommy Bayiokos,2788,0,0
Mark Falvo,159,0,0
Diogo Hausen,1966,0,0
Gary Sievers,76,0,0
London May,5161,0,0
James Quinn,795,0,0
Daniel Newman,508814,0,0
Mark Strong,131662,0,0
CiarÃÂ¡n Hinds,1118,0,1
Dominic West,8142,0,0
James Purefoy,4250,0,0
Bryan Cranston,5372073,0,4
Polly Walker,75696,0,0
Daryl Sabara,756615,0,0
Arkie Reece,918,0,0
Davood Ghadami,122876,0,0
Pippa Nixon,441,0,0
Philip Philmar,85,0,0
Emily Tierney,111341,0,0
Don Stark,4797,0,0
Josh Daugherty,3574,0,0
Christopher Goodman,943,0,0
Amanda Clayton,22895,0,0
Joseph Billingiere,1155,0,0
Bryce Dallas Howard,3321892,0,2
James Cromwell,288,0,0
J.K. Simmons,3421,0,0
Theresa Russell,1351,0,0
Dylan Baker,14157,0,0
Bill Nunn,240,0,0
Elizabeth Banks,3937666,0,3
Ted Raimi,74944,0,0
Perla Haney-Jardine,13163,0,0
Willem Dafoe,139511,0,0
Cliff Robertson,146,0,0
Elya Baskin,22,0,0
Mageina Tovah,20394,0,0
Joe Manganiello,2847076,0,2
Stan Lee,12288917,0,10
Bruce Campbell,177749,0,0
Christopher Young,3186,0,0
Grant Curtis,279,0,0
Daniel Gillies,4663261,0,4
John Paxton,366,0,0
Becky Ann Baker,260,0,0
Steve Valentine,13127,0,0
Lucy Gordon,675,0,0
Toni Wynne,1255,0,0
Andre B. Blake,55412,0,0
Tim Maculan,557,0,0
Marc Vann,205,0,0
Joe Bays,33,0,0
Gregg Daniel,2534,0,0
Michael Alexander,229,0,0
April Parker-Jones,43116,0,0
Robert Curtis Brown,1051,0,0
Christina Cindrich,155737,0,0
Sonya Maddox,466,0,0
Jessi Collins,15519,0,0
Michael McLaughlin,1712,0,0
Emilio Rivera,721874,0,0
Keith Woulard,2217,0,0
Reynaldo Gallegos,4842,0,0
Dean Edwards,194312,0,0
Margaret Laney,668,0,0
Aimee Miles,367,0,0
Tanya Bond,3715,0,0
Mark Kubr,2497,0,0
Tony Besson,14339,0,0
Frank Anello,36,0,0
Joseph O'Brien,120534,0,0
Joe Lipari,980,0,0
Silvia Lombardo,1751,0,0
Joe Lipari,980,0,0
Silvia Lombardo,1751,0,0
David Dale McCue,128,0,0
Olan Montgomery,1216,0,0
Alex Moore,14419,0,0
Shane Nolan,42903,0,0
Jackson Nunn,21609,0,0
Joseph O'Brien,120532,0,0
Kyle David Pierce,36094,0,0
Troy Polamalu,573990,0,0
Michael Power,7784,0,0
James Rawlings,785,0,0
Ben Roethlisberger,758,0,0
Mark Roman,836,0,0
Eric Salazar,933,0,0
Emily Schooley,1900,0,0
Thomas Tull,212,0,0
CiarÃÂ¡n Hinds,420,0,1
Dominic West,8141,0,0
Taylor Kitsch,404839,0,0
Lynn Collins,144925,0,0
Samantha Morton,203065,0,0
Willem Dafoe,139515,0,0
Thomas Haden Church,481,0,0
Tobey Maguire,499785,0,0
Kirsten Dunst,2304495,0,2
James Franco,364210,0,0
Topher Grace,571941,0,0
Vanessa Reseland,273,0,0
La Rivers,6825197,0,5
Bria Roberts,401,0,0
Luis Rosa,357470,0,0
Vanessa Ross,569,0,0
Brenna Roth,3552,0,0
Shade Rupe,186,0,0
Eric Shackelford,132,0,0
Daniel Shafer,14783,0,0
Jennifer Sparks,2009,0,0
Jimmy Star,2445,0,0
Arne Starr,181,0,0
Liam Stone,8737,0,0
Tajna Tanovic,525,0,0
Sincerely A. Ward,67041,0,0
Jennifer Weston,1011,0,0
Zachary Levi,1623027,0,1
Mandy Moore,5558448,0,4
Donna Murphy,37700,0,0
Ron Perlman,1013315,0,0
Brad Garrett,91099,0,0
Paul F. Tompkins,223302,0,0
Richard Kiel,290,0,0
Delaney Rose Stein,3933,0,0
Nathan Greno,55381,0,0
Tim Mertens,78,0,0
Robert Downey Jr.,57288924,0,48
Chris Hemsworth,57646819,0,45
Mark Ruffalo,20536206,0,16
Chris Evans,3905530,0,3
Scarlett Johansson,4060201,0,3
Jeremy Renner,21197707,0,17
James Spader,73293,0,0
Samuel L. Jackson,8235263,0,7
Don Cheadle,926150,0,0
Aaron Taylor-Johnson,903896,0,0
Cobie Smulders,2169576,0,1
Anthony Mackie,2942083,0,2
Hayley Atwell,1952994,0,1
Idris Elba,6399057,0,5
Linda Cardellini,695454,0,0
Claudia Kim,357961,0,0
Thomas Kretschmann,33192,0,0
Andy Serkis,332414,0,0
Julie Delpy,116451,0,0
Henry Goodman,630,0,0
Chris Luca,13040,0,0
Brian Schaeffer,445,0,0
Dominique Provost-Chalkley,286173,0,0
Isaac Andrews,10739,0,0
Bentley Kalu,9856,0,0
Julian Bleach,35,0,0
Christopher Beasley,6113,0,0
Vuyo Dabula,475443,0,0
Nondumiso Tembe,10430,0,0
Mandla Gaduka,30704,0,0
Antony Acheampong,153,0,0
Ben Sakamoto,92,0,0
Ingvild Deila,4137,0,0
Earl T. Kim,1723,0,0
Arthur Lee,1804,0,0
Alma Noce,63450,0,0
Constanza Ruff,1086,0,0
Tony Christensen,1390,0,0
Ian Kay,2715,0,0
Aaron Himelstein,960,0,0
Kerry Condon,42150,0,0
Josh Brolin,3354464,0,2
Daniel Westwood,917,0,0
Daniel Radcliffe,3392012,0,2
Rupert Grint,5043900,0,3
Emma Watson,75037605,0,62
Tom Felton,12094854,0,10
Michael Gambon,3634,0,0
Jim Broadbent,153902,0,0
Helena Bonham Carter,106995,0,0
Robbie Coltrane,22483,0,0
Maggie Smith,101312,0,0
Alan Rickman,109237,0,0
Timothy Spall,43,0,0
David Thewlis,347382,0,0
Julie Walters,13872,0,0
Matthew Lewis,2516821,0,2
Evanna Lynch,4043842,0,3
Bonnie Wright,3984624,0,3
Oliver Phelps,2493327,0,2
James Phelps,2662362,0,2
Mark Williams,88458,0,0
Warwick Davis,128277,0,0
Natalia Tena,152335,0,0
Katie Leung,367578,0,0
Geraldine Somerville,1495,0,0
Helen McCrory,13310,0,0
Freddie Stroma,32560,0,0
David Bradley,1062,0,0
Frank Dillane,10657,0,0
Hero Fiennes-Tiffin,7611497,0,6
Gemma Jones,22916,0,0
Afshan Azad,176704,0,0
Shefali Chowdhury,810,0,0
Georgina Leonidas,5745,0,0
Devon Murray,173353,0,0
Anna Shaffer,160786,0,0
Josh Herdman,136615,0,0
Jamie Waylett,1029,0,0
Scarlett Byrne,12026,0,0
Louis Cordice,40553,0,0
Alfie Enoch,371375,0,0
Robert Knox,24659,0,0
William Melling,1033,0,0
Paul Ritter,6305,0,0
Suzanne Toase,410,0,0
Rod Hunt,4152,0,0
Elarica Gallacher,430350,0,0
Ben Affleck,24752,0,0
Henry Cavill,26776321,0,21
Gal Gadot,109557155,0,100
Amy Adams,940520,0,0
Jesse Eisenberg,12612,0,0
Diane Lane,516,0,0
Jeremy Irons,18417,0,0
Laurence Fishburne,17661,0,0
Holly Hunter,562,0,0
Scoot McNairy,1119,0,0
Callan Mulvey,2035,0,0
Tao Okamoto,151608,0,0
Jena Malone,367865,0,0
Brandon Spink,23709,0,0
Lauren Cohan,4666256,0,3
Hugh Maguire,340,0,0
Michael Cassidy,2055,0,0
Alan D. Purwin, ,0,1
Dan Amboyer,97353,0,0
Rebecca Buller,5576,0,0
Harry Lennix,191575,0,0
Christina Wren,16537,0,0
Jade Chynoweth,2014144,0,1
Kevin Costner,1158725,0,0
Ezra Miller,37967,0,0
Patrick Wilson,528586,0,0
Michael Shannon,11116,0,0
Charlie Rose,127569,0,0
Vikram Gandhi,5316,0,0
Andrew Sullivan,2862,0,0
Neil deGrasse Tyson,2006574,0,1
Jon Stewart,481778,0,0
Soledad O'Brien,533656,0,0
Dana Bash,133575,0,0
Nancy Grace,176708,0,0
Anderson Cooper,4113587,0,3
Brooke Baldwin,213068,0,0
Carla Gugino,830682,0,0
Jason Momoa,17124575,0,14
Joe Morton,92901,0,0
Ray Fisher,268091,0,0
Joseph Cranford,57,0,0
Emily Peterson,2955,0,0
Jeffrey Dean Morgan,5446934,0,4
